Ticker,Mean Return,Volatility,Sharpe Ratio,Max Drawdown,30 Day Return,90 Day Return,Correlation with SPY
DHC,0.008855694073003961,0.6148737791317472,0.014402458477752842,-0.9631096208315204,-0.08730171930836939,-0.2813755010199809,0.40286662550227714
DLPN,0.6050226387513038,1.6139422196186641,0.3748725520633918,-0.9942563481067984,-0.027272700672307915,-0.17692300638503322,0.06207112401692374
DRS,0.3968338874214646,0.6644086917719713,0.5972737749157264,-0.9034482841811501,-0.04181495782216049,0.15146123882006424,0.23355085756601043
EBAY,0.15113250128536002,0.29794545481738355,0.5072488901634429,-0.5357987024538926,0.01271668530701442,0.058948728804946615,0.527631307839986
EQIX,0.20235889578399302,0.267974244742096,0.7551430771966441,-0.4176800156843188,0.05072615387241397,0.15679743651732103,0.5571793693034214
ESGD,0.07577254608878473,0.1700710406964399,0.4455346764416599,-0.33697237650265416,-0.0052611529075135,-0.05487614328575241,0.847662133774669
EWZS,0.063113000930414,0.37099004024680626,0.17012047247529125,-0.6314616387379716,-0.17129603831532125,-0.2541012816585049,0.5078517255391187
EXEL,0.4260643596110281,0.5071458699957919,0.840121915248099,-0.571966137353986,-0.03338175618028005,0.2916989274678541,0.3414445351832095
FBNC,0.1679571709448807,0.34487656677353096,0.48700661954563185,-0.541300685708739,-0.03410388298079137,0.08277858026186746,0.5004970603813728
FFIC,0.0737330974754522,0.36091292027686045,0.20429608731904278,-0.6708903991442824,-0.17642885000366482,0.09247637012314192,0.46806845722425755
FFIV,0.10727459478799262,0.28739892874940587,0.37326024580115763,-0.5459331868259002,0.055000841486749996,0.2847800884375207,0.5912486298907508
FISV,0.20824592757797042,0.2513932238155793,0.82836730607639,-0.3784809074231565,-0.02607623766236966,0.21701526358092393,0.713818522688746
FIZZ,0.24388412698547446,0.4109334483887069,0.5934881376577102,-0.6959433485853731,-0.11491393944688233,-0.055346471138862374,0.2622593444698685
FLWS,0.1410239170046179,0.5251280061635889,0.2685515062030149,-0.8446141715647233,0.04743588160402634,-0.09322975929514898,0.3757664335784315
FTNT,0.3541339560840889,0.399515002137507,0.8864096571827892,-0.5119803507541162,0.0029724672798581153,0.2683582503213737,0.5381309360959147
FTSM,0.019885707580442582,0.01206739904692432,1.647886798399275,-0.04120279426535832,0.0059133715870485215,0.016964221619879094,0.20558239245027457
FV,0.12651278758568957,0.21187185335558958,0.5971193699493446,-0.34040059286845487,0.0018191659839688068,0.051730784088396486,0.8902952365280932
FWRD,0.04063858590902821,0.38325388472999455,0.10603567903208189,-0.8995700663715043,-0.0657589926900809,0.031010207546722235,0.462771699552452
GALT,0.2960063268111164,0.8914735534110724,0.3320416244301341,-0.9082969445669508,-0.5342960394456227,-0.44155844423926005,0.21865370024576528
GDC,1.423670794256433,4.054558539225755,0.3511284349413519,-0.997817543933266,-0.32499999361378795,-0.7561290341038858,0.027336316295746926
GDEN,0.32135760895769233,0.5329951977765035,0.6029277755189918,-0.8898601508988256,-0.040182899792814086,0.053317790991771696,0.5219661403313358
GDS,0.3609800513816545,0.7233177664583452,0.4990615025940232,-0.9562699854566109,0.08196726864537585,0.4576687939260655,0.3458995492479208
GGAL,0.34380122141566366,0.5811835726851424,0.5915535771722832,-0.9169990315225317,0.10712376315161531,0.8816425460249475,0.3651183835801618
GILD,0.06396263197321135,0.25683768234554066,0.24903912614800117,-0.45739779430660166,0.0536921917946136,0.2386944282912018,0.42538177114818926
GILT,0.13700053777840593,0.4278601297744804,0.32019935545435646,-0.8089201728899664,0.2226639838652722,0.3697105587682181,0.3498483539159923
GLNG,0.21604227261157172,0.6036298558568599,0.35790521379181467,-0.9009295751640333,0.2531915553422879,0.3276243235852876,0.41020779610480673
GLPG,0.13167649072487542,0.42777308062795455,0.3078185530786074,-0.9116884980814454,0.0261194321965299,0.10486141720987896,0.34620437390049036
GMAB,0.18882960573170962,0.3585267126718011,0.5266821105867392,-0.5890804606700977,0.013598867633340728,-0.22760916041225276,0.39079766484389455
GOGO,0.14835479753023212,0.6674271532393471,0.22227863641776405,-0.9395509505448213,0.07294432274767493,0.09918478340093606,0.28412091182932475
GREE,0.0704694521718703,1.1884596237985667,0.05929478020181714,-0.9991183017858755,-0.4194756898779797,-0.23645321469875225,0.15638790938342478
HAS,0.08739248220212582,0.32768996574169534,0.2666925793846668,-0.63842903223319,-0.0909669134355452,-0.15368216194201467,0.5081290433194905
HCSG,-0.006138132455466389,0.369929158432334,-0.016592724081222032,-0.8103335025042514,0.006932402423787343,0.10142177018763521,0.4309677535916297
HIMX,0.21487962543130318,0.6029561886794677,0.3563768470507125,-0.8671998253731033,0.5521235380666738,0.3696763577208608,0.3448249706058199
HNRG,0.24103219516665333,0.6742379924526022,0.35748830214962635,-0.9440291887848726,-0.10894945763763986,0.8770491784056551,0.2465231383796606
HOLX,0.13661164119862257,0.26628611289117127,0.5130257816127817,-0.4623971026450199,-0.08282445626730994,-0.09988763098763176,0.5331155299858233
HRTX,0.11883455845862946,0.7935746581928809,0.1497459088842859,-0.9871428566319603,0.2857141998492554,-0.18181819920407716,0.3144927719685946
HTHT,0.30243764612414265,0.5035084091270075,0.6006605662227466,-0.6401808479395998,-0.07763203625236015,0.13427193237245016,0.34431966469764475
HTO,0.10818466021532809,0.2976570931063157,0.36345399696787073,-0.3832247498533235,-0.10182476177644773,-0.14174628208764528,0.4394560549368161
HWC,0.16519089534475648,0.39597687301922807,0.41717308913830187,-0.7093215423491286,-0.057485361529508894,0.10079183800934088,0.6033425333067846
HYFT,87.55913930376484,276.65953236758656,0.3164869778910364,-0.9841269843616336,-0.07415728741802197,-0.5065868130966042,0.013035611712607628
HYLS,0.040555072601109465,0.0685843178261692,0.5913169932505354,-0.229924947400303,0.001944405952496897,0.01953473850785925,0.6041964068777312
IART,0.04971814083058011,0.3330822943901495,0.14926683785942618,-0.7788072377598392,-0.008741209044000664,0.11340203096571488,0.4676870794743674
IBIO,0.18690766278827226,1.5487936531734587,0.12067951234517316,-0.999814159300475,0.07456143790665148,0.21890550214333548,0.0510003762305253
IEI,0.011799782635810859,0.03924928290265375,0.3006368973689719,-0.14600369688765533,0.0027409142883230153,-0.012642315531724013,-0.13410753656723948
IFV,0.04813786459991875,0.2069464164981501,0.23261028344672524,-0.4888867227706039,-0.01061327003648127,-0.04980028953454585,0.7427443994772577
